fighter_id,fighter,dob,height_cm,reach_cm,stance,division,first_ufc_fight,last_ufc_fight,ufc_wins,ufc_losses,ufc_draws,ufc_no_contests,elo,wikipedia_page,pro_wins,pro_losses,pro_draws,pro_fights_before_ufc
e14b5aa06eea9653,Abel Trujillo,1983-09-18,172.7,177.8,Orthodox,Lightweight,2012-12-08,2017-12-16,6,4,0,1,1561.1,Abel Trujillo,15,8,0,13
6448e57a9533b7e4,Abner Lloveras,1982-09-04,180.3,,,Lightweight,2015-12-11,2015-12-11,0,1,0,0,1460.0,Abner Lloveras,22,17,1,27
46d0a888d87d91ac,Abu Azaitar,1986-03-10,175.3,193.0,Orthodox,Middleweight,2018-07-22,2023-10-21,1,2,0,0,1446.1,,,,,
029e1293e609fd74,Abubakar Nurmagomedov,1989-11-13,180.3,182.9,Orthodox,Welterweight,2019-11-09,2023-06-03,2,2,0,0,1521.0,Abubakar Nurmagomedov,17,4,1,16
f7adc1fd115f8fdd,Abubakar Vagaev,1993-04-14,180.3,185.4,Orthodox,Welterweight,2026-07-25,2026-07-25,1,0,0,0,1538.5,,,,,
36b8f265bcd1b7a4,Abus Magomedov,1990-09-02,188.0,198.1,Orthodox,Middleweight,2022-09-03,2026-06-27,5,3,0,0,1634.8,Abusupiyan Magomedov,29,7,1,28
b27b8881d7444114,Adam Cella,1985-06-26,188.0,,,Middleweight,2013-04-06,2013-04-06,0,1,0,0,1460.0,,,,,
a01a62132460a98d,Adam Fugitt,1989-01-12,185.4,195.6,Southpaw,Welterweight,2022-07-30,2026-01-24,2,4,0,0,1421.1,Adam Fugitt,10,6,0,10
72ffecf712673af1,Adam Milstead,1987-07-03,190.5,193.0,Orthodox,Light Heavyweight,2016-05-29,2018-12-15,1,2,0,1,1470.9,Adam Milstead,8,3,0,8
efa1f6b42c86793c,Adam Wieczorek,1992-02-05,195.6,205.7,Orthodox,Heavyweight,2017-11-18,2018-11-03,2,1,0,0,1524.1,Adam Wieczorek,11,3,0,9
0a95c474e61a6c44,Adam Yandiev,1988-08-07,175.3,188.0,Orthodox,Middleweight,2018-09-15,2018-09-15,0,1,0,0,1471.2,,,,,
1e327b281ef6a745,Adlan Amagov,1986-10-30,188.0,193.0,Orthodox,Welterweight,2013-04-06,2013-10-19,2,0,0,0,1584.9,Adlan Amagov,14,2,1,14
e3b30b573e7f0d19,Adrian Luna Martinetti,1995-08-20,172.7,180.3,Orthodox,Bantamweight,2026-04-25,2026-04-25,0,1,0,0,1470.5,,,,,
e7ec11096eac0282,Adrian Serrano,1963-12-23,172.7,,,Welterweight,2000-06-09,2000-06-09,0,1,0,0,1464.6,,,,,
0232cabbc30a2372,Adrian Yanez,1993-11-29,170.2,177.8,Orthodox,Bantamweight,2020-10-31,2026-07-11,7,3,1,0,1634.2,Adrian Yañez,18,6,1,14
7dcf06c1967801c1,Adriano Martins,1982-12-16,177.8,182.9,Southpaw,Lightweight,2013-11-09,2017-09-09,4,3,0,0,1548.2,Adriano Martins,29,13,0,30
c6e6926a81adcd00,Adriano Santos,,,,,Middleweight,1998-10-16,1998-10-16,0,1,0,0,1460.0,,,,,
24656ef4d605c96f,Aiemann Zahabi,1987-11-19,172.7,172.7,Orthodox,Bantamweight,2017-02-19,2026-06-14,8,3,0,0,1700.2,Aiemann Zahabi,14,3,0,6
06e4245d16fc5315,Ailin Perez,1994-10-05,165.1,167.6,Switch,Women's Bantamweight,2022-09-03,2026-02-28,6,1,0,0,1667.4,,,,,
e50cd77732d39967,Aisling Daly,1987-12-24,157.5,162.6,Orthodox,Women's Strawweight,2014-12-12,2015-10-24,2,1,0,0,1529.4,Aisling Daly,16,6,0,19
c136b2a8852da5bd,Akbarh Arreola,1983-01-14,177.8,180.3,Southpaw,Lightweight,2014-07-26,2015-11-14,1,3,0,0,1436.7,Akbarh Arreola,27,11,1,31
b2acebbef8da14ea,Akihiro Gono,1974-10-07,170.2,172.7,Switch,Welterweight,2007-11-17,2009-01-31,1,2,0,0,1501.1,Akihiro Gono,38,24,8,47
3f52ce18fb98008f,Akira Corassani,1982-08-27,172.7,172.7,Orthodox,Featherweight,2012-09-29,2015-01-24,3,3,0,0,1485.0,Akira Corassani,12,6,0,13
59279a7c978f7da0,Al Iaquinta,1987-04-30,177.8,177.8,Orthodox,Lightweight,2012-06-01,2021-11-06,9,6,0,0,1600.2,Al Iaquinta,14,7,1,7
c9a94278df042f46,Alan Baudot,1988-02-01,190.5,200.7,Orthodox,Heavyweight,2020-10-10,2022-06-25,0,3,0,1,1392.6,Alan Baudot,9,4,0,9
4130a743d9d22163,Alan Belcher,1984-04-24,188.0,190.5,Orthodox,Middleweight,2006-08-26,2013-04-27,9,6,0,0,1612.6,Alan Belcher,19,9,0,8
cf65d56b0755ed3b,Alan Jouban,1981-11-25,182.9,185.4,Southpaw,Welterweight,2014-08-16,2020-11-21,8,5,0,0,1608.7,Alan Jouban,18,7,0,13
f2ad06f1007c481a,Alan Omer,1988-09-14,177.8,,Orthodox,Featherweight,2014-04-11,2015-06-20,0,2,0,0,1442.3,,,,,
cd7763bcadb5d4c8,Alan Patrick,1983-07-19,180.3,188.0,Southpaw,Lightweight,2013-10-09,2022-05-14,5,4,0,1,1509.2,Alan Patrick (fighter),15,5,0,10
1897b7b913736a7c,Alatengheili,1991-12-14,165.1,167.6,Orthodox,Bantamweight,2019-08-31,2025-04-26,5,3,1,0,1542.7,,,,,
d8d7b24d276c8cb0,Albert Cheng,1985-02-07,180.3,,Orthodox,Welterweight,2014-03-01,2014-03-01,0,1,0,0,1460.0,,,,,
6b7c7460855dbbb9,Albert Duraev,1989-01-05,180.3,190.5,Orthodox,Middleweight,2021-10-30,2023-07-15,2,2,0,0,1488.6,,,,,
544d7460b3e44393,Albert Morales,1991-05-25,175.3,182.9,Orthodox,Bantamweight,2016-09-17,2018-02-24,1,4,1,0,1393.0,Albert Morales,19,11,1,6
ff6a1f63c254127e,Albert Tumenov,1991-12-26,180.3,185.4,Orthodox,Welterweight,2014-02-15,2016-10-08,5,3,0,0,1560.6,Albert Tumenov,25,7,0,12
6e02c318762f52f1,Alberta Cerra Leon,,172.7,,,,1994-03-11,1994-03-11,0,1,0,0,1460.0,,,,,
25433871e4eee0f4,Alberto Crane,1976-07-14,165.1,,Orthodox,Lightweight,2007-08-25,2008-01-23,0,2,0,0,1439.3,Alberto Crane,15,5,0,8
4b1d46a1b5c0fd11,Alberto Mina,1982-05-02,182.9,195.6,Orthodox,Welterweight,2014-08-23,2018-05-12,3,1,0,0,1555.5,Alberto Mina,13,1,0,10
a112097ad877a48f,Alberto Montes,1994-05-31,170.2,175.3,Orthodox,Featherweight,2026-03-07,2026-07-18,1,1,0,0,1491.3,,,,,
8f2deefe8c5dfb5d,Alberto Uda,1984-08-08,190.5,,Orthodox,Middleweight,2016-05-29,2016-08-20,0,2,0,0,1418.2,,,,,
5e9ca8dd7d783a75,Alden Coria,1998-04-24,172.7,170.2,Orthodox,Flyweight,2025-09-13,2026-07-18,3,0,0,0,1589.1,,,,,
80daefbed11ce998,Alejandro Perez,1989-09-02,167.6,170.2,Orthodox,Featherweight,2014-11-15,2022-02-26,8,4,1,0,1560.8,,,,,
c2a670b22d2e196f,Aleksa Camur,1995-09-25,185.4,188.0,Orthodox,Light Heavyweight,2020-01-18,2023-08-05,1,3,0,0,1435.0,Aleksa Camur,6,3,0,5
333b9e5c723ac873,Aleksandar Rakic,1992-02-06,193.0,198.1,Orthodox,Heavyweight,2017-09-02,2026-08-01,7,5,0,0,1630.6,Aleksandar Rakić,15,6,0,9
e76d9f656ceb82ab,Aleksandra Albu,1990-07-14,157.5,160.0,Orthodox,Women's Strawweight,2015-04-11,2019-10-26,2,2,0,0,1496.4,Aleksandra Albu,3,2,0,1
4a6dff1b260bcf61,Aleksandre Topuria,1996-01-28,170.2,172.7,Orthodox,Bantamweight,2025-02-08,2025-11-22,2,0,0,0,1577.5,Aleksandre Topuria,7,1,0,6
e2ccd9a9ace60de7,Aleksei Kunchenko,1984-05-02,172.7,177.8,Orthodox,Welterweight,2018-09-15,2020-03-14,2,2,0,0,1538.6,,,,,
98c23cb6da5b3352,Aleksei Oleinik,1977-06-20,188.0,203.2,Orthodox,Heavyweight,2014-06-28,2022-10-01,9,8,0,0,1513.5,Aleksei Oleinik,61,18,1,38
70fa1c64a2c439ef,Alen Amedovski,1988-04-06,177.8,188.0,Orthodox,Middleweight,2019-04-20,2022-09-17,0,4,0,0,1357.1,Alen Amedovski,8,3,0,8
3fa97913cfd205d3,Alessandro Costa,1996-01-28,162.6,170.2,Orthodox,Flyweight,2022-12-17,2026-07-11,5,3,0,0,1574.5,,,,,
77d7295d1b22c694,Alessio Di Chirico,1989-12-12,182.9,188.0,Orthodox,Middleweight,2016-04-10,2022-09-03,4,7,0,0,1390.7,Alessio Di Chirico,13,7,0,9
7f955f71fa2ce7ac,Alessio Sakara,1981-09-02,182.9,182.9,Orthodox,Middleweight,2005-10-07,2013-10-26,6,8,0,1,1413.8,Alessio Sakara,22,13,0,13
1562b12763cc8d67,Alex Andrade,1974-05-14,180.3,,Orthodox,Middleweight,2000-06-09,2000-06-09,0,1,0,0,1456.9,,,,,
7aa3d6964eff4877,Alex Caceres,1988-06-20,177.8,185.4,Southpaw,Featherweight,2011-03-26,2024-05-11,16,13,0,1,1589.2,Alex Caceres,21,15,0,7
26b63bc5c0c1f65d,Alex Chambers,1978-10-25,160.0,160.0,Southpaw,Women's Strawweight,2014-12-12,2018-09-22,1,4,0,0,1400.3,Alex Chambers,5,6,0,6
c3ded6f7155f9ea4,Alex Da Silva,1996-02-04,172.7,185.4,Orthodox,Lightweight,2019-04-20,2022-06-04,1,3,0,0,1456.8,,,,,
a2b12c3f3d60ff69,Alex Garcia,1987-07-14,175.3,182.9,Orthodox,Welterweight,2013-12-06,2018-10-27,5,5,0,0,1493.3,Alex Garcia (fighter),15,8,0,11
803bebcfb6d6f506,Alex Gorgees,1995-08-11,188.0,188.0,Switch,Lightweight,2018-12-01,2018-12-01,0,1,0,0,1460.0,,,,,
baa5358456803df8,Alex Hunter,,175.3,,Orthodox,Heavyweight,1997-07-27,1997-10-17,2,0,0,0,1553.6,,,,,
e361e5c858af6ff1,Alex Karalexis,1977-09-20,172.7,167.6,Orthodox,Welterweight,2005-04-09,2006-01-16,1,2,0,0,1452.0,Alex Karalexis,10,6,0,4
cdb96af67d096b1e,Alex Morono,1990-08-16,180.3,182.9,Orthodox,Welterweight,2016-01-02,2026-02-07,13,10,0,1,1493.4,Alex Morono,24,13,0,14
2b6d855c6e280fb1,Alex Nicholson,1990-05-02,193.0,195.6,Orthodox,Middleweight,2016-02-06,2017-05-28,1,3,0,0,1441.0,Alex Nicholson (fighter),20,14,0,7
57b10fca4f9c9a7a,Alex Oliveira,1988-02-21,180.3,193.0,Orthodox,Welterweight,2015-03-21,2022-03-05,11,10,0,1,1459.8,Alex Oliveira,26,19,1,15
e5549c82bfb5582d,Alex Pereira,1987-07-07,193.0,200.7,Orthodox,Heavyweight,2021-11-06,2026-06-14,10,3,0,0,1804.5,Alex Pereira,13,4,0,4
ab2b4ff41d6ebe0f,Alex Perez,1992-03-21,167.6,165.1,Orthodox,Flyweight,2017-12-09,2026-08-29,8,7,0,1,1553.4,Alex Perez (fighter),26,11,0,22
dc07493a87dc0a6e,Alex Reyes,1986-10-02,180.3,185.4,Orthodox,Lightweight,2017-09-16,2024-08-17,0,3,0,0,1401.0,,,,,
bf9bc96336922271,Alex Ricci,1982-07-21,180.3,,Orthodox,Lightweight,2016-08-27,2017-02-19,0,2,0,0,1431.7,,,,,
fdfef29ba17ee525,Alex Schoenauer,1976-05-05,190.5,,Orthodox,Middleweight,2005-04-09,2005-04-09,0,1,0,0,1460.0,,,,,
d18dbcb0f8e2b55d,Alex Soto,1984-02-15,172.7,,Southpaw,Bantamweight,2011-11-19,2012-05-15,0,2,0,0,1425.8,,,,,
df5a77121ba84a5d,Alex Stiebling,1976-12-26,188.0,,Southpaw,Middleweight,2000-11-17,2000-11-17,0,1,0,0,1460.0,Alex Stiebling,19,11,1,6
e4e0f310b3cf23a8,Alex Torres,1988-05-29,177.8,,Orthodox,Featherweight,2015-02-28,2015-02-28,0,1,0,0,1480.0,,,,,
c17041f1bb5768d8,Alex White,1988-10-22,182.9,180.3,Southpaw,Lightweight,2014-04-19,2019-10-26,4,6,0,0,1436.8,Alex White (fighter),14,6,0,9
e8b731feff72294b,Alexa Grasso,1993-08-09,165.1,167.6,Orthodox,Women's Flyweight,2016-11-05,2026-09-12,10,5,1,0,1750.3,Alexa Grasso,18,5,1,7
3c6976f8182d9527,Alexander Gustafsson,1987-01-15,195.6,200.7,Orthodox,Light Heavyweight,2009-11-14,2022-07-23,10,8,0,0,1597.7,Alexander Gustafsson,18,8,0,8
262a7d06203657e6,Alexander Hernandez,1992-10-01,175.3,182.9,Orthodox,Lightweight,2018-03-03,2026-04-25,10,8,0,0,1622.9,Alexander Hernandez,18,9,0,9
f8f1ec513bcfef43,Alexander Munoz,1990-02-27,175.3,182.9,Switch,Lightweight,2020-08-08,2023-07-15,1,2,0,0,1492.6,,,,,
56bf3ed155bd0fcd,Alexander Poppeck,1992-04-06,188.0,190.5,Orthodox,Heavyweight,2026-08-01,2026-08-01,0,1,0,0,1460.0,,,,,
e1248941344b3288,Alexander Volkanovski,1988-09-29,167.6,180.3,Orthodox,Featherweight,2016-11-26,2026-01-31,15,3,0,0,1886.3,Alexander Volkanovski,28,4,0,14
279566840aa55bf2,Alexander Volkov,1988-10-24,200.7,203.2,Orthodox,Heavyweight,2016-11-19,2026-05-09,14,5,0,0,1832.0,Alexander Volkov (fighter),40,11,0,32
d06f8869449ba7bd,Alexander Yakovlev,1984-07-18,190.5,188.0,Southpaw,Lightweight,2014-05-31,2020-10-24,3,6,0,0,1451.7,Alexander Yakovlev (fighter),25,13,1,27
c0badf3243907e59,Alexandr Romanov,1990-12-11,188.0,190.5,Southpaw,Heavyweight,2020-09-12,2024-11-02,7,3,0,0,1631.3,Alexander Romanov (fighter),22,4,0,11
8fd1f27e86661ede,Alexandre Barros,1976-11-19,175.3,,Southpaw,Welterweight,2009-01-17,2009-01-17,0,1,0,0,1471.0,,,,,
8dc46e9a7895ce1a,Alexandre Dantas,1979-03-01,188.0,,Orthodox,Heavyweight,2000-09-22,2003-02-28,0,2,0,0,1426.6,Alexandre Dantas,0,3,0,0
28ba5f27e473420c,Alexandre Ferreira,1979-04-25,170.2,,Orthodox,Light Heavyweight,2010-11-13,2010-11-13,0,1,0,0,1467.6,Alexandre Ferreira (fighter),18,6,0,23
a0f0004aadf10b71,Alexandre Pantoja,1990-04-16,165.1,170.2,Orthodox,Flyweight,2017-01-28,2026-09-19,14,5,0,0,1720.2,Alexandre Pantoja,30,7,0,18
545092d13c67aa49,Alexia Thainara,1995-11-20,162.6,170.2,Orthodox,Women's Strawweight,2025-03-22,2026-08-08,4,0,0,0,1650.9,,,,,
4c2d90e335e6df19,Alexis Davis,1984-10-04,167.6,172.7,Orthodox,Women's Bantamweight,2013-06-15,2022-02-05,8,6,0,0,1513.1,Alexis Davis (fighter),20,11,0,18
4ae4049426e0161d,Alexis Dufresne,1990-08-31,175.3,,Orthodox,Women's Bantamweight,2014-07-06,2015-01-03,0,2,0,0,1424.6,,,,,
1e38bba6738b7b10,Alfonso Alcarez,1970-06-10,160.0,,,Lightweight,1999-09-24,1999-09-24,0,0,1,0,1500.0,,,,,
e87a13e02c01331d,Ali AlQaisi,1990-09-23,167.6,172.7,Orthodox,Bantamweight,2020-08-08,2020-10-10,0,2,0,0,1435.9,,,,,
3dd92ff9fb0412b3,Ali Bagautinov,1985-06-10,162.6,165.1,Orthodox,Flyweight,2013-09-04,2016-11-19,4,3,0,0,1565.9,Ali Bagautinov,22,7,0,12
7ab478c397cd68ef,Aliaskhab Khizriev,1990-08-24,175.3,188.0,Southpaw,Middleweight,2022-03-26,2024-02-03,1,0,0,1,1540.0,,,,,
30cad5a751adcb48,Alibi Idiris,1994-10-22,167.6,172.7,Orthodox,Flyweight,2025-08-16,2026-02-21,0,1,0,1,1457.8,,,,,
87f8699fdcc2c404,Alice Ardelean,1992-04-19,160.0,157.5,Orthodox,Women's Strawweight,2024-07-27,2026-05-16,3,2,0,0,1541.4,,,,,
81d2c551886bd5a1,Alice Pereira,2005-12-20,172.7,180.3,Orthodox,Women's Bantamweight,2025-09-13,2026-04-04,1,1,0,0,1513.4,,,,,
b4ad3a06ee4d660c,Alistair Overeem,1980-05-17,193.0,203.2,Orthodox,Heavyweight,2011-12-30,2021-02-06,12,8,0,0,1674.6,Alistair Overeem,47,18,0,46
cb696ebfb6598724,Aljamain Sterling,1989-07-31,170.2,180.3,Orthodox,Featherweight,2014-02-22,2026-04-25,18,5,0,0,1867.9,Aljamain Sterling,26,5,0,8
e62b36885ecdac27,Allan Goes,1971-04-20,182.9,,Orthodox,Middleweight,1998-05-15,1998-05-15,0,1,0,0,1462.3,Allan Góes,10,5,2,4
253076a23d03dcd0,Allan Nascimento,1991-09-11,172.7,175.3,Orthodox,Flyweight,2021-10-30,2026-06-20,4,2,0,0,1601.0,Allan Nascimento,22,7,0,23
523af801b3429015,Allan Zuniga,1992-04-04,170.2,177.8,Orthodox,Lightweight,2018-07-06,2018-07-06,0,1,0,0,1480.0,,,,,
aebfb84d1f6d2d8c,Allen Berube,1974-08-25,172.7,,Orthodox,Lightweight,2007-06-23,2007-06-23,0,1,0,0,1456.4,,,,,
a9d6e047ce48ab63,Allen Crowder,1989-11-08,190.5,193.0,Orthodox,Heavyweight,2017-12-02,2019-06-22,1,2,0,0,1471.9,Allen Crowder,10,3,1,12
73a78713bd899f4c,Allen Frye Jr.,1998-04-15,195.6,203.2,Orthodox,Heavyweight,2025-12-13,2025-12-13,0,1,0,0,1460.0,,,,,
a495f599e787614f,Alonzo Menifield,1987-10-18,182.9,193.0,Orthodox,Light Heavyweight,2019-01-19,2026-09-19,12,6,1,0,1654.7,Alonzo Menifield,18,6,1,7
e18a19001a3f7c7d,Alptekin Ozkilic,1986-03-27,165.1,165.1,Orthodox,Flyweight,2013-12-14,2015-05-09,1,3,0,0,1414.4,Alp Ozkilic,9,5,0,9
74d35fbc9c6a61bd,Alvaro Herrera Mendoza,1990-05-14,182.9,188.0,Orthodox,Lightweight,2015-11-21,2018-07-28,1,3,0,0,1411.6,,,,,
ab2a4b5e04dc5fe9,Alvin Hines,1991-10-20,188.0,188.0,Orthodox,Heavyweight,2025-06-28,2026-07-18,0,2,0,0,1429.6,,,,,
cbe79765d44bd172,Alvin Robinson,1982-07-16,175.3,172.7,Southpaw,Lightweight,2007-07-07,2008-11-15,1,3,0,0,1440.3,Alvin Robinson,15,9,0,9
d4a31850a7457f1b,Amanda Cooper,1991-10-22,160.0,162.6,Switch,Women's Strawweight,2016-07-08,2018-11-10,2,4,0,0,1435.3,,,,,
3df5493bb279226f,Amanda Lemos,1987-05-22,162.6,165.1,Southpaw,Women's Strawweight,2017-07-16,2026-08-08,9,7,0,0,1566.2,Amanda Lemos,15,7,1,7
80fa8218c99f9c58,Amanda Nunes,1988-05-30,172.7,175.3,Orthodox,Women's Bantamweight,2013-08-03,2023-06-10,16,2,0,0,1838.7,Amanda Nunes,23,5,0,10
beecb672a279223e,Amanda Ribas,1993-08-26,162.6,167.6,Orthodox,Women's Strawweight,2019-06-29,2025-07-26,7,6,0,0,1536.6,Amanda Ribas,13,7,0,7
7aa88401f93ce836,Amar Suloev,1976-07-01,175.3,,Orthodox,Middleweight,2002-01-11,2002-05-10,0,2,0,0,1441.2,Amar Suloev,24,7,0,15
7a359ef685a304a7,Amaury Bitetti,1969-04-14,175.3,,Orthodox,Middleweight,1996-05-17,2000-06-09,1,1,0,0,1515.9,Amaury Bitetti,5,2,0,3
dc5a6b2fdb27e7dc,Amilcar Alves,1988-08-08,182.9,,Southpaw,Welterweight,2010-08-28,2011-01-22,0,2,0,0,1432.0,,,,,
6d35bf94f7d30241,Amir Albazi,1993-10-27,165.1,172.7,Orthodox,Flyweight,2020-07-18,2026-02-07,5,2,0,0,1591.3,Amir Albazi,17,3,0,12
2650e2f846a30f64,Amir Sadollah,1980-08-27,177.8,190.5,Orthodox,Welterweight,2008-06-21,2014-09-20,6,5,0,0,1474.4,Amir Sadollah,6,5,0,0
bbc9ab95fa766493,Anderson Dos Santos,1985-07-24,165.1,177.8,Orthodox,Bantamweight,2018-11-17,2021-08-07,1,3,0,0,1434.6,,,,,
1f454354805b6f75,Anderson Silva,1975-04-14,188.0,195.6,Southpaw,Middleweight,2006-06-28,2020-10-31,17,7,0,1,1609.2,Anderson Silva,34,11,0,20
5f6f049d54728e88,Andre Ewell,1988-01-21,172.7,190.5,Southpaw,Featherweight,2018-09-22,2021-12-18,4,5,0,0,1427.5,Andre Ewell,18,10,0,17
33efaf2d0941cfcf,Andre Fialho,1994-04-07,182.9,188.0,Orthodox,Welterweight,2022-01-22,2023-09-23,2,5,0,0,1432.9,André Fialho,17,11,0,16
8fd808923cffff82,Andre Fili,1990-06-25,180.3,188.0,Orthodox,Featherweight,2013-10-19,2026-06-20,13,13,0,1,1479.1,Andre Fili,25,14,0,13
cc300e9aa3063431,Andre Gusmao,1977-05-19,182.9,,Orthodox,Light Heavyweight,2008-08-09,2009-05-23,0,2,0,0,1432.8,,,,,
b1f21ce050035d58,Andre Lima,1999-02-04,170.2,170.2,Orthodox,Flyweight,2024-03-23,2026-08-29,5,1,0,0,1591.4,,,,,
886264a0c9f4ea5e,Andre Muniz,1990-02-17,185.4,198.1,Southpaw,Middleweight,2019-11-16,2025-10-04,6,4,0,0,1550.0,André Muniz,24,8,0,22
bba678d312590087,Andre Pederneiras,1967-03-22,172.7,,Orthodox,Welterweight,1999-07-16,1999-07-16,0,1,0,0,1472.0,André Pederneiras,1,1,2,1
5f61780fe5e9b6d0,Andre Petroski,1991-06-12,182.9,185.4,Switch,Middleweight,2021-08-28,2026-05-16,8,5,0,0,1498.9,Andre Petroski,13,6,0,6
a54a35a670d8e852,Andre Roberts,1965-02-24,188.0,,Orthodox,Heavyweight,1998-05-15,1999-07-16,2,1,0,0,1537.4,Andre Roberts (fighter),14,2,1,4
d0e50a3d1b250708,Andre Soukhamthath,1988-10-23,175.3,177.8,Orthodox,Bantamweight,2017-03-04,2019-08-31,2,5,0,0,1433.0,Andre Soukhamthath,14,10,0,14
b45d6b73f4ca4467,Andre Winner,1981-11-09,180.3,185.4,Orthodox,Lightweight,2009-06-20,2011-07-02,2,4,0,0,1434.5,Andre Winner,22,13,2,13
05fa626cb33d15b8,Andrea Lee,1989-02-11,167.6,175.3,Orthodox,Women's Flyweight,2018-05-19,2025-03-01,5,9,0,0,1425.1,Andrea Lee (fighter),13,11,0,10
2caf993f53541fa1,Andreas Gustafsson,1991-02-20,185.4,185.4,Orthodox,Welterweight,2025-06-07,2025-09-06,1,1,0,0,1526.8,,,,,
79325a3c1a5c3bf4,Andreas Michailidis,1988-07-18,182.9,193.0,Orthodox,Welterweight,2020-07-15,2022-06-04,1,3,0,0,1425.4,Andreas Michailidis,16,9,0,14
69a400af4420cd6a,Andreas Stahl,1988-05-20,180.3,,Orthodox,Welterweight,2014-07-26,2015-12-10,0,2,0,0,1425.4,,,,,
3738e68d2261e60f,Andrei Arlovski,1979-02-04,190.5,195.6,Orthodox,Heavyweight,2000-11-17,2024-06-29,23,18,0,1,1489.4,Andrei Arlovski,34,24,0,3
5f2f0da6fd6a84fd,Andrei Semenov,1977-06-17,182.9,,Orthodox,Middleweight,2002-01-11,2002-05-10,1,1,0,0,1496.1,Andrei Semenov (fighter),34,9,2,22
8a70ceb3edbe757b,Andrew Craig,1986-01-15,185.4,193.0,Orthodox,Welterweight,2012-03-02,2015-07-15,3,4,0,0,1446.3,Andrew Craig,9,4,0,6
66ab58d0b3783607,Andrew Holbrook,1986-02-06,180.3,177.8,Southpaw,Lightweight,2015-07-25,2017-09-02,2,3,0,0,1422.5,Andrew Holbrook,12,3,0,10
fccf811c1e8b01c7,Andrew Sanchez,1988-04-08,185.4,188.0,Orthodox,Middleweight,2016-07-08,2021-10-16,5,5,0,0,1487.4,Andrew Sanchez,14,9,0,9
22e07d3da1aa3475,Andrey Pulyaev,1997-09-10,193.0,198.1,Southpaw,Middleweight,2025-03-22,2026-06-27,1,3,0,0,1449.8,,,,,
9199e0735b83dd32,Andy Anderson,1974-07-16,167.6,,,,1995-04-07,1995-04-07,0,1,0,0,1460.0,,,,,
993d385f5a475375,Andy Enz,1991-08-15,190.5,198.1,Orthodox,Middleweight,2014-02-01,2015-01-31,0,3,0,0,1412.6,Andy Enz,10,4,0,11
